Ano de eleição,Município,Partido,Código município,Nome candidato,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2022,ANTA GORDA,PL,85138,ADRIANA VIEIRA LARA,Eleito,0,ADRIANA VIEIRA LARA,ANTA GORDA
2022,ENTRE-IJUÍS,MDB,85103,ROBERTO FANTINEL,Eleito,55,ROBERTO FANTINEL,ENTRE-IJUIS
2022,ALECRIM,MDB,85057,LUCIANO DA SILVA SILVEIRA,Eleito,1,LUCIANO DA SILVA SILVEIRA,ALECRIM
2022,ALTO ALEGRE,PSDB,84808,NERI ANDRADE PEREIRA JUNIOR,Eleito,1,NERI ANDRADE PEREIRA JUNIOR,ALTO ALEGRE
2022,CATUÍPE,PSDB,85979,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,CATUIPE
2022,SÃO PEDRO DO BUTIÁ,PSDB,87823,MATEUS JOSE DE LIMA WESP,Suplente,0,MATEUS WESP,SAO PEDRO DO BUTIA
2022,JAGUARI,PSDB,87238,ZILÁ MARIA BREITENBACH,Suplente,2,ZILA BREITENBACH,JAGUARI
2022,SEGREDO,PP,85529,ERNANI POLO,Eleito,0,ERNANI POLO,SEGREDO
2022,PIRAPÓ,PP,84778,ERNANI POLO,Eleito,1,ERNANI POLO,PIRAPO
2022,HULHA NEGRA,PP,86800,ERNANI POLO,Eleito,2,ERNANI POLO,HULHA NEGRA
2022,TURUÇU,PP,88501,ERNANI POLO,Eleito,3,ERNANI POLO,TURUCU
2022,SÃO JERÔNIMO,PP,88714,JOEL LEANDRO WILHELM,Eleito,0,JOEL LEANDRO WILHELM,SAO JERONIMO
2022,GRAMADO DOS LOUREIROS,PP,86762,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,19,SILVANA MARIA FRANCISCATTO COVATTI,GRAMADO DOS LOUREIROS
2022,CHAPADA,PP,86037,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,1131,SILVANA MARIA FRANCISCATTO COVATTI,CHAPADA
2022,PORTO ALEGRE,PP,88013,ERNANI POLO,Eleito,133,ERNANI POLO,PORTO ALEGRE
2022,VICENTE DUTRA,PP,89656,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,287,SILVANA MARIA FRANCISCATTO COVATTI,VICENTE DUTRA
2022,VICENTE DUTRA,PP,89656,ERNANI POLO,Eleito,7,ERNANI POLO,VICENTE DUTRA
2022,CORONEL BARROS,PP,86622,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,224,SILVANA MARIA FRANCISCATTO COVATTI,CORONEL BARROS
2022,DOIS IRMÃOS,PP,86258,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,48,SILVANA MARIA FRANCISCATTO COVATTI,DOIS IRMAOS
2022,COTIPORÃ,PP,89770,MARCUS VINÍCIUS VIEIRA DE ALMEIDA,Eleito,0,MARCUS VINICIUS VIEIRA DE ALMEIDA,COTIPORA
